Nome_Logradouro,Complemento
PRIMEIRADA PAZ DO BATE CORACAO,
QUARTA JUPARA,
FLORES DE PARIPE,
,TERREO
ALMIRANTE TAMANDARE,SOBRADO
EDSON TENORIO,SOBRADO
EDSON TENORIO,SOBRADO
TRAVESSA 14 DE SETEMBRO,
14 DE SETEMBRO,SOBRADO
14 DE SETEMBRO,TERREO
ALMIRANTE MOURAO DE SA,
CARACAO DE JESUS,FRENTE
JOAO DE DEUS,
10 DE ABRIL,
CORACAO DE JESUS,
PORTUGAL,
PORTUGAL,SOBRADO
DA PENHA,ANDAR
DA BELGICA,TERREO
DEUS,
TAMANDARE,ANDAR 1
DA BELGICA,
PARANA,
21 DE,ANDAR 1
DA BELGICA,
VALE,TERREO
21 DE ABRIL,
,CASA FRENTE
,
VENEZUELA,TERREO
1 DE JANEIRO,TERREO
CASTRO ALVES,
PARAGUAI,FUNDOS CASA 1 TERREO
PARAGUAI,
,TERREO
BENEDITO,
,CASA 2 FUNDOS
DE OLINDA,FUNDOS
OLINDINA,TERREO
DA BASE NAVAL DE ARATU,TERREO
,SOBRADO
PARA,TERREO
PARANA,FRENTE ANDAR 1 CASA 2
,
EDUARDO DOTTO,FUNDOS TERREO CASA 4
,
SEM DENOMINACAO,
DENOMINACAO,
RAY CHARLES,CASA
CHARLES,CASA
ITAU,CASA 2 FUNDOS
CLAROS,
MONTES CLAROS,
DA MANGUEIRA,
EDUARDO DOTTO,
2 BELA VISTA DE TUBARAO,SOBRADO
ANGELA,FUNDOS CASA 3
EDSON,
PARANAGUA,
GONCALO DE PARIPE,
JOAO MARTINS DA SILVA,TERREO
JOAO MARTINS DA SILVA,
LOURIVAL COSTA,
,
CANAA,
PARANAGUA,
RENASCENCA,4
MELO,CASA 1 FRENTE
GILBERTO VIANA,
ANTONIO,CASA 2
IRIGUACU,
IRIGUACU,
DA JUREMA,CASA 1
DURVAL,CASA
1 ENGENHEIRO DURVAL SANTOS,
1 SAO JOSE DE INEMA,TERREO
,
LUIS HAGE,
SAO JOSE DE SAO TOME,
ALTO DO,
ALTO DO TORORO,
ALTO DO TORORO,
MIRALDA SARAFIM,
,
ANTARTICA,
CASTORES,
HERMES DA FONSECA,
,ANDAR 1
BEIRA RIO,
BEIRA RIO,
DA GLORIA,
LAZARO DE PERIPERI,
CONSTITUINTE,
CONSTITUINTE,BOX
PRIMEIRA DA ESPERANCA,CASA E
PRIMEIRA WALDIR PIRES,
TERCEIRA DA ESPERANCA,CASA
RIO DE CIMA,CASA
RIO DE CIMA,CASA
,CASA
CONTITUINTE,CAIS
FRANCISCO XAVIER,
GUINE,
JUBIABA,CASA TERREIO
ALEIXO,CASA
SEGUNDA JUBIABA,CASA
HENRIQUE,
1 TRAVESSA DEODORO DA FONSECA,
MOURAO DE SA,
PEIXOTO,
BARBARA DE CIMA,FUNDOS CASA 1
BARBARA DE CIMA,
COSME E,
PAULO AVELAR,TERREO
SABIA,BLOCO 144 APARTAMENTO 102
SABIA,BLOCO BLOCO G 304
DO SABIA,BLOCO BLOCO APARTAMENTO 304
SABIA,BLOCO 626 BLOCO D APARTAMENTO 201
DO SABIA,BLOCO 626 BLOCO E
FRANCO VELASCO,BLOCO 710 BLOCO APARTAMENTO
HENRIQUE MARQUES,FRENTE
ALMEIDA JUNIOR,FRENTE
SESSENTA,CASA E TERREO
AUGUSTO BALTAZAR SILVEIRA,
MANOEL DIAS,E 1
MANOEL DIAS,FUNDOS
30  3A ETAPA,
30 3A,
EIXO 9,TERREO
EIXO 27,FRENTE
1ALVARO LEITGEL,CASA
LEITEGEL,
LEITEGEL,
DA BASE,FUNDOS CASA 1
DA BASE,
BASE NAVAL,CASA 1
DA SUB ESTACAO,CASA 1
EDITE BORGES,
LANAT,CASA CASA
RUA OLIVAIS,CASA 1
SALOME,
2TRV EDITE BORGES,CASA 4
EIXO A,BOX 1
FELIPE SOARES,
MAR GRANDE,
ACRE,TERREO
,CASA 7 FUNDOS
RAY CHARLES,FRENTE TERREO
1 BELA VISTA DE TUBARAO,TERREO
1 BELA VISTA DE TUBARAO,SOBRADO
1 BELA VISTA DE TUBARAO,
ARATU,
ALEX,
,
CAMPOS PITANGA,FUNDOS
CAMPOS PITANGA,
11 DE SETEMBRO,SUBSOLO
14 DE JULHO,FRENTE
LUANDA,TERREO
2 DE JULHO,
ANA CRISTINA,
EVERALDO CARDOSO,
EVERALDO CARDOSO,
CARDOSO,FRENTE
ANTONIO DE COUTOS,
TRAVASSO,SOBRADO
PRIMEIRA 15 DE NOVEMBRO,TERREO
PRIMEIRA 15 DE NOVEMBRO,
JOAO DE COUTOS,
MONICA,
TRAVASSO,TERREO
GREGORIO DE MATTOS,
LEOPOLDINA,SOBRADO
QUITERIA,CASA
,
01,
,
05,
06,SOBRADO
56,
AVENCAS,
,
EIXO C,CASA TERREO
EIXO 32,
32,CASA FUNDOS
AFRANIO PEIXOTO,FRENTE
AFRANIO PEIXOTO,
BAHIA,
CIDADE DO PORTO,
PIAUI,SOBRADO
VENEZA,
JURACY MAGALHAES,BLOCO a ANDAR 1 APARTAMENTO 201
MOURAO DE,
MARTINS,CASA 3
JOAO MARTINS,SOBRADO
1 DE JANEIRO,FUNDOS
21 DE ABRIL,
,TERREO
TIRADENTES,
VENEZUELA,SOBRADO
,
,
21 DE SETEMBRO,2
IRIGUACU,TERREO
,SOBRADO
21 DE,FRENTE
28 DE MARCO,SOBRADO
MARTINS,FRENTE
VALERIO,
VALERIO,
,
14 DE,
BEIRA RIO,
DE PERIPERI 1,CASA
3 PARAISO DE PERIPERI,
MURIQUI,
2 DE JULHO,
2 DE JULHO,CASA
2 DE JULHO,CASA
2 DE JULHO,TERREO
CINQUENTA E,FUNDOS CASA 18
CINQUENTA E NOVE,TERREO
,TERREO
CRISTOVAO BARRETO,
EIXO 8,
AMAZONAS,1
DA SILVA,FUNDOS
,
NOVOS UNIDOS,
,
SALOME,CASA
MARTINS DA SILVA,FUNDOS 2
,
NATAL,
DA ESPERANCA DE PERIPERI,
DA GLORIA,
SAO JERONIMO,
DUMONT,
,TERREO
DUMONT,FRENTE
26,
26,TERREO QUADRA 24
26,QUADRA 24
DA CAIXA,
MOREIRA,
AFRANIO PEIXOTO,CASA
REGINA,APARTAMENTO
BANANEIRAS,CASA
FRANCA,CASA
14 DE JULHO,CASA
14 DE JULHO,
ISRAEL,
JERUSALEM,FUNDOS CASA 4
,
SEARA,
,TERREO
,TERREO
,
DA RESSUREICAO,TERREO
AUSTRALIA,SOBRADO
DO BONFIM,FUNDOS
LUIZ ANDRADE,
LUIZ ANDRADE,TERREO
BASE,TERREO
13 DE MAIO,
MACEIO,TERREO
,TERREO
RAIMUNDO,FUNDOS
,RUA_INTERNA
HUMBERTO SILVA,
ALTO DOS PONTES,FUNDOS
FLUMINENSE,CASA
NOVA BRASILIA,CASA
DA BASE,
DA BASE NAVAL,FUNDOS 3
VALDECK,
LIRIOS DO VALE,
VILA MAR,
DA CAIXA D AGUA,FRENTE SOBRADO
DO SABIA,184 P APARTAMENTO 104
DO SABIA,184 BLOCO N 204
DAS FLORES,TERREO
NASSAU,
EIXO 28,FRENTE
PRIMEIRA TRAVESSA EIXO A,SOBRADO
20 DE OUTUBRO,TERREO
7 DE SETEMBRO DE COUTOS,ANDAR 1
BEIRA RIO DE CIMA,
9 DE MARCO,
6A BEIRA,
9 DE,FUNDOS
34,SOBRADO CASA 4
34,
35,
A BA,SOBRADO
CRISTOVAO BARRETO,FUNDOS
51  3A ETAPA,SOBRADO
53  3A ETAPA,
53,
CARMO,
DO CARMO,SUBSOLO
RAMOS DE QUEIROZ,
RAMOS DE,CASA
DO PASSO,ANDAR APARTAMENTO
DO PASSO,
DO PASSO,
TABOAO,
DUARTE DA COSTA,
EBENEZER CAVALCANTE,TERREO
20 DE JUNHO,
20 DE,
7 DE ABRIL,
DUARTE DA,
WALTER DA SILVEIRA,
21 DE SETEMBRO,
NACOES UNIDAS,TERREO
NACOES UNIDAS,CASA
NACOES UNIDAS,
2 DO GAMA,2
FLAMENGO,
OCTAVIO MANGABEIRA,ANDAR 2
OCTAVIO MANGABEIRA,ANDAR 2
DA LEGALIDADE,
1 DE MAIO,
1 DE,
CAMBARA,QUADRA 12 20 1
DOS ANDRADES,ANDAR 1
LOPES TROVAO,
MARIVALDO TAPIOCA,ANDAR 1
COSTA,ANDAR 1 CASA 1
COSTA,
DO BONFIM,TERREO
DO BONFIM 1,
GUIDO,TERREO
GUIDO,
SECO,QUADRA 5
RESENDE COSTA,TERREO
MASCARENHAS DE MORAES,
MONTEIRO LOBATO,
,TERREO
JD CASTRO ALVES,TERREO
MANOEL BARROS DE AZEVEDO,
MANOEL BARROS DE AZEVEDO,FRENTE
MANOEL BARROS DE AZEVEDO,
14 DE MARCO,
GETULIO VARGAS,1
LOBATO,5
JOSE BONIFACIO,FUNDOS
CAMINHO DE AREIA,
DIAS,AVENIDA_INTERNA CASA02
BULCAO VIANA,SOBRADO
CAMINHO DE AREIA,ANDAR 2 APARTAMENTO ALA
CARNEIRO DA ROCHA,TERREO
DIREITA DA,
SANTOS TITARA,
SANTOS TITARA,
TROVAO,
ESPERANCA,CASA
WANDERLEI,
JURACY MAGALHAES,TERREO
LOPES TROVAO,CASA
LIMA,
VISTA,TERREO
6 DE JANEIRO,TERREO
6 DE,FUNDOS CASA 4
COPACABANA,ANDAR 1
JOSE SANTANA,
JOSE SANTANA,ANDAR 1
TEIXEIRA LOTT,TERREO
25 DE,ANDAR 2
JOSE,
,
JOSE,
25 DE,TERREO
ESPERANCA,TERREO 3
MONTEIRO,
MONTEIRO,FUNDOS CASA 1
MANOEL BARROS DE AZEVEDO,
BARROS DE AZEVEDO,ANDAR 1
EXPEDICIONARIOS,
HENRIQUE DIAS,
JERICO,SOBRADO
DENDEZEIROS DO BONFIM,ANDAR 01
BRAZ DO,ANDAR 2 APARTAMENTO 33
BRAZ DO,
MARBACK,ANDAR 3 APARTAMENTO 302
PRIMEIRO DE,
TURIEMA,
TURIEMA,CASA 3
UCHOA,FUNDOS
DO SOSSEGO,TERREO
SOSSEGO,ANDAR 1
MENINAO,
MARE,
LEAL,SOBRADO
PRIMEIRA DO,
LEBLON,
PRIMEIRA DO PETROLEO,CASA
SIMAO SOBRAL,BARRACAO
SIMAO SOBRAL,COBERTURA
SIMAO SOBRAL,CASA
SIMAO SOBRAL,
CLARA,ANDAR 1
FRANCISCO,ANDAR 1 CASA 2
FRANCISCO,CASA
,CASA
,
SEBASTIAO LEME,TERREO
BOA VISTA,
V,
SISTO V,
SISTO V,FRENTE
VIII,
POLIVALENTE,TERREO
,ANDAR 2 CASA 2
DO URUGUAI,
DO URUGUAI,FUNDOS TERREO
DO URUGUAI,
6 DE JANEIRO,FUNDOS
RITA NUNO,ANDAR APARTAMENTO
PEREIRA,
23 DE,ANDAR 1
ELIAS KALILE,
JOSE GERALDO VELOSO GORDILHO,TERREO
,FRENTE TERREO LOJA
FORMOSA,
CLAUDIONOR WANDERLEY,
RIO DE CONTAS,
RIO ITAPICURU,
JACUIPE,ANDAR 2
RIO JAGUARIPE,TERREO
JAGUARIPE,
CONSTELACAO,
BOA SORTE,
CONSTELACAO,ANDAR 2
,CASA E FUNDOS ANDAR 1
COUTO MAIA,APARTAMENTO 202
MAIA,APARTAMENTO 101
JORGE GOES MASCARENHAS,CASA
MAR,CASA
DO BOMFIM,CASA
,CASA
OTTO,CASA
BEIRA MAR,CASA
DO CUSTODIO,CASA
DO PORTO DO BONFIM,LOJA
CARAVELAS,GARAGEM
PORTO DOS MASTROS,
TRAVASSO DE FORA,
,
BOA HORA,TERREO
BOA HORA,ANDAR 1
CURIMATA,
EUGENIO,
FRANCISCO PAULO,2 2
COELHO,ANDAR 1
COELHO,TERREO
AMORIM,CASA
JORGE DA,AVENIDA_INTERNA
VICENCIO CONSTANTINO,TERREO
VICENCIO CONSTANTINO FIGUERED0,
AFRANIO PEIXOTO,BARRACA
AFRANIO PEIXOTO,
AFRANIO PEIXOTO,TERREO
CANAL DO JOANES,CASA
,TERREO
BELA CRUZ,QUADRA 9 LOTE 13 ANDAR 1
CARIRE,
CONCEICAO DOS OUROS,QUADRA 15 LOTE 28
,
DIVISA NOVA,TERREO FNS
PEDRA DOURADA,ANDAR 1 TERREO
ATERRO JOANES,
PAZ,
,TERREO
GUIMARAES,
COARACI,CASA
NOVA LIMA,CASA
PENINSULA DO JOANES,CASA
CIDREIRA,QUADRA 14
JOANES LESTE,
GERALDO VELOSO GORDILHO,TERREO
LUIZ REGIS PACHECO,TERREO
LUIS REGIS PACHECO,TERREO 1 CASA 4
PRIMEIRA AVENIDA MOSQUEIRA,ANDAR 2 CASA 2
ROQUE,CASA 2
PRIMEIRO DE JANEIRO,
PRIMEIRO DE JANEIRO,TERREO
8 DE DEZEMBRO,FUNDOS 1 ANDAR
SEGUNDA 1 DE JANEIRO,AVENIDA_INTERNA
,SOBRADO
PORTO,
LUIS REGIS PACHECO,TERREO
VIDAL DE NEGREIROS,
PEIXOTO,
26 DE,TERREO
26 DE DEZEMBRO,
DOIS DE OUTUBRO,
2 DE OUTUBRO,
LUIZ REGIS PACHECO 1,BOX
OBALUAE 2,TERREO
OBALUAE 2,ANDAR 1
HAROLDO DE SA,ANDAR 1
10 DE,ANDAR 1
DA GALILEIA,SOBRADO
DA PALESTINA,
DA PALESTINA,TERREO
HILDA,ANDAR 1
MAGALHAES DE ITAPAJIPE,ANDAR 2
PORTO DOS,
VILA UNIAO,
CUSTODIA,
1 FERNANDO BAGGI,AVENIDA_INTERNA
DE SANTO,TERREO
DE SANTO AMARO,
PIEDADE,
PIEDADE,
LELLIS PIEDADE,ANDAR 1 CASA 3
BEIRA MAR,
DA MADRAGOA,
DO FOGO,TERREO
OSORIO,
PIMENTA DA CUNHA,
PORTO DOS TAINHEIROS,CONJUNTO BLOCO A APARTAMENTO 201
ELADIO PAIM,BLOCO APARTAMENTO
LELIS PIEDADE,CASA
PORTO DOS,
NOVA DE ITAPAGIPE,TERREO FUNDOS
NOVA DE,AVENIDA_INTERNA
1 DOMINGOS RABELO,TERREO
ANIBAL GARCIA,TERREO
GARCIA,
JAIME RIBEIRO RUAS GASPAR,TERREO
ANIBAL DA SILVA GARCIA,ANDAR 1
,TERREO
,ANDAR
FRANCISCO,FUNDOS
FRANCISCO,FUNDOS
,
GENESIO SALES,SOBRADO
MASCARENHAS DE,CASA 2
URUGUAI,ANDAR 3
,TERREO
NUNO,
CAMINHO DE AREIA,APARTAMENTO 101
CARLOS LOPES,
DIREITA DA MASSARANDUBA,
LOPES TROVAO,
LOPES TROVAO,ANDAR 1 CASA 2
BIGUA,TERREO
DA PEDRA FURADA,ALAMEDA_INTERNA CASA 10
MIRANTE DO,TERREO
FARIAS,ANDAR 1 QUITINETE 1
JARDIM  CASTRO ALVES,ANDAR 1
RITA NUNO,FUNDOS TERREO
RITA NUNO,
SILVINO PEREIRA,TERREO
KALILE,ANDAR CASA
POLIVALENTE,ANDAR 1
SILVINO PEREIRA,TERREO
SILVINO PEREIRA,
BELONITA,TERREO
BENEVIDES,
DOUTOR COUTO MAIA,
JUCARA,ANDAR 1
INOCENCIO XI,FUNDOS
DENOMINACAO,TERREO
DENOMINACAO,
,
CLOVIS DE ALMEIDA MAIA,TERREO
BRASIL,TERREO
,
FRANCISCO PAULO MATEUS,
AMORIM,TERREO
CAIO MARIO PEDREIRA FILHO,
CAIO MARIO PEDREIRA FILHO,ANDAR 1
2 DOMINGOS,SOBRADO
GOMES DA SILVA,ANDAR 3
GREGORIO XVI,
PAINEIRA DO,CASA
PRIMEIRA TRAV JOAO DE DEUS,ANDAR 1
FORMOSO,TERREO
MONTE FORMOSO,GARAGEM
MONTE FORMOSO,TERREO
MONTE FOMOSO,
QUARESMEIRA DO JOANES,
JOAO DE DEUS,CASA
5 TRAVESSA JOAO DE DEUS,CASA
MANGUEIRA DA RIBEIRA,SOBRADO
MASCARENHAS DE MORAIS,TERREO
MASCARENHAS DE,ANDAR 1
NACOES UNIDAS,
TAMANDARE,FUNDOS CASA 3 TERREO
TAMANDARE,CASA
NACOES UNIDAS,
DA PAZ,
DA PAZ,
BARROSO 1,
,
AMPARO,ANDAR 1
MONTEIRO LOBATO,ANDAR 1
25 DE,TERREO GARAGEM
JD CASTRO,TERREO
LOBATO,TERREO
DUARTE DA,ANDAR 01
CARLOS LIMA,
LIMA,ANDAR 3
LIMA,CASA
,TERREO
REBOUCAS,ANDAR 1
6 DE,ANDAR 2 APARTAMENTO 1
PONTE DE SANTO ANTONIO  OU SANTO ANTONIO,
24 DE,ANDAR 1
MARQUES DA SILVA,
MARQUES DA SILVA,FRENTE
MARQUES DA SILVA,CASA
AMERICANO DA COSTA,TERREO
ANTONIO FRANCISCO,
MARIO PEDREIRA FILHO,
RAFAEL UCHOA,
BRUMADO,
ESPLANADA,
EUNAPOLIS,
,TERREO
URUGUAI,ANDAR 3 CASA 3
DO URUGUAI,
6 DE JANEIRO,CASA 3 FUNDOS
6 DE,TERREO
NELTON FRANCA,
JOANA DE,TERREO APARTAMENTO 02
NICOLAU ALVES,
ALVES,
ANTONIO,SOBRADO 04
JERONIIMO DE ALBUQUERQUE,ANDAR 01
BASILIO PEREIRA,ANDAR 01
FRANCISCO SOUZA,APARTAMENTO 02
JOSE SENA,SOBRADO
RITA DURAO,ANDAR 3 APARTAMENTO 302
PRIMEIRO BARREIRO,FUNDOS CASA 1
RIO SAO,
SEGUNDO BARREIRO,TERREO
JOSE PRAXEDES,ANDAR CASA
JOSE PRAXEDES,TERREO LADO B
MANGUEIRA,
AMORIM,
RUBEM AMORIM,TERREO
RUBEM AMORIM,TERREO
CRATO,
MARIA DAS,TERREO
MARIA DAS,CASA
VOLUNTARIOS DA PATRIA,FUNDOS
PENINSULA DO JOANES,TERREO
APORE,ANDAR 1
ATERRO DO JOANES,
IPORA,TERREO
,
NICARAGUA,
SILVINO PEREIRA,FUNDOS
GERALDO VELOSO GORDILHO,ANDAR CASA 2
LUIS REGIS PACHECO,TERREO
LUIS REGIS PACHECO,CASA 1 FUNDOS
PRIMEIRA TRAV JOAO PAULO II,
ROQUE,TERREO
DA GALILEIA,APARTAMENTO
2 DOMINGOS RABELO,ANDAR
NOVA ITAPAGIPE,ANDAR 1
DA PENHA,EDIFICIO APARTAMENTO 202
TAMARINDEIROS DA PENHA,ANDAR 1
1 DOMINGOS,ALAMEDA_INTERNA CASA 4
DA SILVA GARCIA,ANDAR 1
ANTONINO DO ESPIRITO SANTO,TERREO
CLOVIS DE ALMEIDA MAIA,
KALILE,
ELIAS KALILE,TERREO
ELIAS KALILE,TERREO
ELIAS KALILE,
GERALDO VELOSO GORDILHO,ANDAR 1
RIO JACUIPE,
CACHOEIRA DA PRATA,AVENIDA_INTERNA
CAMPESTRE,ANDAR 2
FRONTEIRA DOS VALLES,ANDAR 1
SEM DENOMINACAO,
SEM DENOMINACAO,AVENIDA_INTERNA
SEM DENOMINACAO,
EUGENIO,AVENIDA_INTERNA 5 CASA
MARIO PEDREIRA FILHO,FUNDOS
1 16 DE JANEIRO,
1 16 DE JANEIRO,SOBRADO
20 PARQUE CARVALHO,
20 PARQUE CARVALHO,
22 DE,
ADUSTINA CJ MORADA LAGOA 2,
COARACI CJ MORADA LAGOA 2,
TEODORO SAMPAIO CJ MORADA LAGOA 2,
ARRUDA,
AMBROSINA ARRUDA,
8 DE MAIO QUARTA,
AMBROSINA ARRUDA,
CURIO 05 PRINCIPAL,BOX
01,78 APARTAMENTO 004
01,BLOCO 78 APARTAMENTO
01,BLOCO 35 APARTAMENTO
,01
05,BLOCO 1172A APARTAMENTO 004
DAIANA CARLA 1,
JORGE 1,CASA 12E
JORGE 1,CASA 13
ALICRIM,COMODO
TEIXEIRA,OUTROS
PAZ,
PEDRO DE ALENCAR,CASA
ARCO DO TRIUNFO,CASA
CARDEAL JEAN,
JOANA DARC,CASA
JOANA DARC,CASA
JEAN,TERREO
JEAN,SOBRADO
ALTO DO TANQUE,
DAIANA CARLA,
ELIZABETE,
ELIZABETE,TERREO FRENTE
ILHEUS,SOBRADO
RIO SENA,TERREO FRENTE
5 DE NOVEMBRO,TERREO
AMBROSINA ARRUDA,FRENTE
1A DO,
VOLTS,
GETULIO VARGAS,TERREO
VARGAS,FUNDOS
,TERREO FUNDOS
PITAGORAS,CASA
DIRETA DO CRUZEIRO,
DIRETA DO CRUZEIRO,FUNDOS 1
DIRETA DO CRUZEIRO,SOBRADO
AFRANIO PEIXOTO SUBURBANA,
CARLOS LACERDA,TERREO
JOSE PIRES CASTELO BRANCO,ANDAR 1
GOMES,FRENTE
BELO HORIZONTE,CASA
DIRETA DO,CASA TERREO
DO CRUZEIRO,CASA
NORMA,
NORMA,
ROSALVO BARBOSA,
ROSALVO BARBOSA,CASA
CARAIBA,
,
ABACAXI,
ANTONIO,
GLORIA,
,
VASCONCELOS,
DAS VIRGENS,FUNDOS 25
VIRGENS,FUNDOS
GRAVATA,ANDAR 2
OSVALDO DA,TERREO
DA CONSOLACAO,TERREO
MARIA,TERREO FRENTE
DA AREIA OU DEMOSTENES DO,CASA
DA AREIA OU DEMOSTENES DO NASCIMENTO,TERREO
CARLOS GOMES,TERREO
DA REVOLUCAO,TERREO
ARMANDO ULM DA SILVA,SOBRADO 2 and
BOA ESPERANCA,
BOMFIM,TERREO FUNDOS
DO BUDIAO,SOBRADO
VI,FRENTE TERREO
PEDRO II,TERREO
SETE DE SETEMBRO,TERREO
LUIS VIANA,CASA FUNDOS
,FUNDOS TERREO
DOS FERROVIRIOS DE PERIPERI,
,
,
TELMA,
DA BRAUNA,ANDAR 1o APARTAMENTO 102
AMBROSINA ARRUDA,
COSTA SANTOS,
2 COSTA,
DA TEREZINHA,CASA
PEIXOTO,SOBRADO
DIAMANTINA,ANDAR
GOMES,
GOMES,TERREO
TEIXEIRA DE FREITAS,CASA
AZEVEDO MACHADO,
DAS PEDRINHAS,
DAS PEDRINHAS,
DO PAU BRASIL,
DO PAU BRASIL,
1 AZEVEDO,
3 SILVIO ARAUJO,
7 SILVIO ARAUJO,
ARAUJO,
,BLOCO 129 A
3,BLOCO 35 B APARTAMENTO 004
LAGOA DA PAIXAO,
TEIXEIRA,
TEIXEIRA,
CURIO,
OSVALDO NEVES,TERREO
25 DE,
32,CASA 3
4 TRAVESSA EIXO 37 A,
SAPUCAIA,
DO ANGELIM,
IPE,
DO MOGNO,
2,B APARTAMENTO 104
2,BLOCO 81 B APARTAMENTO 001
3,BLOCO 66 B APARTAMENTO 301
,BLOCO APARTAMENTO
PAJUSSARA,CASA
ARCO DO,CASA FUNDOS
MARIA CECILIA,
DA PREFEITURA,APARTAMENTO 5
DA JAQUEIRA,
DA JAQUEIRA,CASA 11
NILO,TERREO
4 ALBERTO PEREIRA,
23 LAGOA DA PAIXAO,
CAMAMU CJ HAB REC LAGOA,
ESPLANADA CJ HAB REC LAGOA,
PORTO SEGURO CJ HAB REC LAGOA,
BRUMADO CJ HAB REC LAGOA,
FEIRA DE,TERREO
VITORIA DA CONQUISTA,SOBRADO
RIO NILO,TERREO
DA BASE DE ARATU,
MUNIZ FERREIRA,
BEL MONTE,TERREO
MONTE,ANDAR 1
CONCEICAO DO ALMEIDA,
CONCEICAO DO COITE,
CONCEICAO DO JACUIPE,
CONCEICAO DO JACUIPE,TERREO
MORADA DA LAGOA,
CJ HAB MARADA LAGOA,
ALTO DO TANQUE,
ALTO DO TANQUE,
MALVINAS,
CARLOS CROECIA,
CARLOS CROECIA,
,
NOVA ESPERANCA,
ASTROGILDO BARATA,SOBRADO
DO COQUEIRAL,CASA
DOS VIOLEIROS,
ARCO DO TRIUNFO,
MARIA CECILIA,
RIO SENA,
MAMEDE,
MAMEDE,
BAIXA DO,FRENTE
AFRANIO PEIXOTO,QUADRA 4 SOBRADO
AMAZONAS,FUNDOS
1 INGLATERRA,
CARLOS GOMES,FUNDOS
JUNIOR,
DA GLORIA,ANDAR 2
LUCIA PIILAR,
AROEIRA,
DA IMBURANA,
DO IPE ROXO,TERREO
PAJUSSARA,
SUBURBANA,RUA_INTERNA
SUBURBANA,RUA_INTERNA
SUBURBANA,FUNDOS
DIRETA DO RIO SENA 1,
ORTIGA,FUNDOS
ARCO DO TRIUNFO,
,CASA
MARIA CECILIA,TERREO
ALTO DO TANQUE,TERREO
ABACAXI,
CURIO,TERREO
FRANCISCO DE PAULA,
MASCARENHAS,
JULIAO,
JULIAO,
PILAR,BARRACA
PILAR,EDIFICIO
,
OSCAR PONTES,
CHACARA DO SANTO ANTONIO P,CASA 19
AVELAR BRANDAO VILLELA,LADO ESQUERDO APARTAMENTO 302
MARINA COSTA,TERREO
EDWIGES,BLOCO 1 APARTAMENTO 004
DAS COPSIBAS,EDIFICIO JEQUITIB BLOCO APARTAMENTO
COPSIBAS,FLAMBOYA 309A APARTAMENTO 201
ARAUJO,25 APARTAMENTO
RESIDENCIAL SAO JOAO,4 403
RESIDENCIAL SAO JOAO,ANDAR 2 APARTAMENTO 204
RESIDENCIAL SAO JOAO,ANDAR APARTAMENTO
JULIO,TERREO
JULIO,ANDAR 1 APARTAMENTO 101
MASCARENHA,
ANTONIO DA MATA ESCURA,
7 DE SETEMBRO,ANDAR 1
7 DE SETEMBRO,TERREO
7 DE SETEMBRO,FRENTE ANDAR 1
SEGUNDA AVENIDA SAO MIGUEL,
TRAVESSA 7 DE SETENBRO,
AREAL,
DENOMINACAO,CASA E
10 DE DEZEMBRO,
DAS PEDREIRAS,PREDIO
PEDREIRAS,
PELE,TERREO
,CASA
XI,ANDAR
ALIANCA,
LUZ,ANDAR
,ANDAR
ANDRADE,CASA
ABELARDO MAGALHAES,
ABELARDO MAGALHAES,
JOAO FELSEMBURGH,CASA TERREO
PALMEIRA IMPERIAL,
DIRETA EDEM DO VALE,
FORTALEZA,
FORTALEZA,
DO BOMFIM DA BAHIA,
SENHOR DO BOMFIM DA BAHIA,TERREO
DA MATA ESCURA,FUNDOS CASA 1
DA MATA ESCURA,SUBSOLO
DA MATA ESCURA,TERREO
YACINA,TERREO
JENIPAPEIRO,
INDEPENDENCIA,
,
LUAN BRAGA,FUNDOS
LUCIA,FUNDOS
NELSON SANTOS SILVA,ANDAR 1
ESTACIO DE SA,FUNDOS
EVANDRO MARTINS DA CRUZ,
,
,FRENTE
VICENTE CELESTINO,TERREO
DIAMANTE,ANDAR 1
ANTONIO DIAS,CASA 2
ARTHUR MARTHINS DA CRUZ,
ELISA,
ESMERALDA JESUS SOUZA,1
JOSE NASCIMENTO,TERREO
JOSE NASCIMENTO,
RONDON,
ESTELITA BATISTA,
JOSE LINS,
VALENTIN,
VISTA,CASA TERREO
BOA VISTA,
CALMON,ANDAR 1
CELESTINO,
OLIVERAS,
DAS OLIVERAS,
CAMPINAS DE PIRAJA,APARTAMENTO 202
PIRAJA,LOJA F
JOAO LOPES,FUNDOS
LIRIO DOS,
ALEGRIA DE CAMPINAS,
OITO DE NOVEMBRO,
OSCAR SEIXAS,TERREO
TRAVESSA JOAO EVANGELISTA,
,TERREO
CARVALHO,TERREO
LUIS,
OITO DE NOVEMBRO,FRENTE
SAMPAIO,
TERCEIRA SAMPAIO,
ELISABETE,TERREO
ELISABETE,
24 DE,
,TERREO
CRUZ,
DA FONTE,FRENTE
DA FONTE,TERREO
FONTE,
GLORIA,
DA LIBERDADE,ANDAR 1
DEZOITO DE,
ANTONIO,TERREO
ANTONIO,
,
,FUNDOS
PRIMEIRO DE,
ELISIO MESQUITA,ARMAZEM
,
DAS TULIPAS,TERREO
DAS VERBENAS,TERREO
COQUEIROS,
RAPOSO TAVARES,TERREO
DAS MERCEDARIAS,
PAULINAS,
DOS DOMINICANOS,SUBSOLO
CID MOREIRA,CASA 1
DOS FRANCISCANOS,
