Nome_Logradouro,Complemento
ADELMARIO PINHEIRO,SOBRADO
CRISTOVAO FERREIRA,SOBRADO LADO 1
ELENITA,CASA 4 SOBRADO
ELENITA,
PATRICIO,
,SUBSOLO
PATRICIO,FUNDOS 2
JOSE RODRIGUES DE OLIVEIRA,TERREO
ADELMARIO PINHEIRO,CASA 3
,
AMARALINA,
BALNEARIO,
MANOEL DIAS DA SILVA,
MANOEL DIAS DA SILVA,APARTAMENTO 503
ANTHENOR TUPINAMBA,APARTAMENTO 1402
MIRANDA,APARTAMENTO 301
PLATAO,
,BLOCO B
TIMBO,APARTAMENTO 304
IPIRA,
ARY PEREIRA DE OLIVEIRA,FUNDOS
BIMBA,CASA 2
DO NORDESTE,
DURVAL FRAGA,
FRAGA,CASA 1
7 DE,
VARZEA DE SANTO ANTONIO,APARTAMENTO 1103
GRAVIOLA,
DA TURQUIA 2,
INDIANA,ANDAR 2
LIBIA,ANDAR 1 CASA 1
SAMPAIO,
JOAO MENDES DA COSTA FILHO,BLOCO APARTAMENTO
JOAO MENDES DA COSTA FILHO,BLOCO 02
JOAO MENDES DA COSTA FILHO,BLOCO C APARTAMENTO 302
DO CANARIO,FUNDOS
EMILIANO GALIZA,FUNDOS
TIAGO,TERREO
TIAGO,ANDAR 2 CASA 1
JOAO BIAO DE CERQUEIRA,503 BLOCO
BIAO DE CERQUEIRA,APARTAMENTO BLOCO
JOAO BIAO DE CERQUEIRA,APARTAMENTO BLOCO
BIAO DE CERQUEIRA,APARTAMENTO C
,BLOCO B
CEARA,APARTAMENTO B
JOAO BIAO DE CERQUEIRA,APARTAMENTO 203
DOS PINTASSILGOS,APARTAMENTO 503
PINTASSILGOS,APARTAMENTO 1304
DO ALBATROZ,
DO ALBATROZ,
ROUXINOL,APARTAMENTO 803
DO ROUXINOL,
MAGNO VALENTE,BLOCO B APARTAMENTO 201
BIMBA,
NAGE,
NOVA BRASILIA,
2 NOVO PARAISO,CASA
2 NOVO PARAISO,CASA FRENTE
FRANCISCO ALVES PEGO,CASA 3
HOSANA DE,BLOCO SUL APARTAMENTO 601
CLOVIS VEIGA,
CLOVIS VEIGA,
BATALHA,APARTAMENTO 402
JOAO DURVAL CARNEIRO,ANDAR 3
PEDRO BATISTA DE ALMEIDA,1
FIUZA,EDIFICIO Cristal APARTAMENTO 1104
SAO FRANCISCO,
CASSILANDRO BARBUDA,
BARBUDA,APARTAMENTO 602
MANOEL PEREIRA,BLOCO 06 APARTAMENTO 304
MANOEL PEREIRA,BLOCO 10 APARTAMENTO 303
JOAO CARLOS SACRAMENTO,
RODRIGUES,BLOCO APARTAMENTO
HILTON RODRIGUES,APARTAMENTO 701
NUNES,
NUNES,APARTAMENTO 302
VALENTE,
CLARA NUNES,EDIFICIO SAN MICH APARTAMENTO 101
NUNES,APARTAMENTO 701
CARLOS SA,
VALENTE,APARTAMENTO 1101
CAXUNDE,FRENTE
DO CURRALINHO,ANDAR 1 CASA 1
CANAMBI,
JOAO NUNES DA MATA,
JOAO NUNES DA MATA,
JOAQUIM DE MAGALHAES,
NOVO PARAISO,
NOVO PARAISO,
ARABIA,2 CASA
DO CAMPO,
DO CAMPO,
,
AMAZONAS,APARTAMENTO 1601
J FERRARO,
JOSE DA SANTA CRUZ,CASA
JOSE DA SANTA CRUZ,ANDAR 1
ALBERTO RABELO,
PARANGABA,
APOLONIA,
SANTA APOLONIA,
2 TRAVESSA SANTA APOLONIA,
3 NOVO,
RODRIGO ARGOLO,
IPIRANGA,ANDAR 1 CASA 2
CAIO PEDREIRA FILHO,FUNDOS
,
MALASIA,SUBSOLO 2
ARLINDA GONCALVES VERAS,ANDAR 01
JOAO LUIZ BARREIROS,FUNDOS ANDAR 2
SEGUNDA DO NORDESTE,
DEZENOVE DE SETEMBRO,BLOCO F ANDAR 1
XXIII,
JOAO XXIII,
HELIO LACERDA,
HELIO LACERDA,
VIDAL DA CUNHA,TERREO
ONZE DE NOVEMBRO,SOBRADO
PEREIRA,
SETE DE ABRIL,TERREO
AREAL,
,
,SOBRADO
ANTENOR COSTA NUNO,
ANTENOR COSTA NUNO,
PRIMEIRO DE NOVEMBRO,
DO SOSSEGO,
DO SOSSEGO,
REINALDO DE MATOS,ENTRADA FUNDOS CASA 9
DOREA,SOBRADO
VINTE DE,TERREO
SUCUPIRA,
JOSE ROCHA,SOBRADO
JOSE ROCHA,SOBRADO 2
,
,
OTAVIO MANGABEIRA,
SANTO,
,BLOCO A APARTAMENTO 1403
EMILIO ODEBRECHT,APARTAMENTO 1102
,
GOIAS,BLOCO B APARTAMENTO 704
ARTESAO JOAO DA PRATA,
EUGENIO VEIGA,
EUGENIO VEIGA,APARTAMENTO 301
ALTO DO ITAIGARA,
ALTO DO ITAIGARA,APARTAMENTO 102
MONTEIRO,BLOCO 1 APARTAMENTO 502
ANTONIO MONTEIRO,BLOCO 2 APARTAMENTO 1202
EDITH MENDES DA GAMA E ABREU,EDIFICIO JANGADA APARTAMENTO 502
DIAS,F BLOCO D 101
BARTOLOMEU DIAS,QUADRA F BLOCO E APARTAMENTO 102
CAO,QUADRA G BLOCO D APARTAMENTO 202
DIOGO CAO,QUADRA F BLOCO B APARTAMENTO 102
VI,EDIFICIO APARTAMENTO
PAULO VI,APARTAMENTO 303
BAHIA,APARTAMENTO 404
GROSSO,APARTAMENTO 101
PAULO VI,
TERRITORIO DO AMAPA,APARTAMENTO 106
TERRITORIO DO RIO BRANCO,APARTAMENTO 501
TERRITORIO DO RIO BRANCO,APARTAMENTO 302
DURVAL MATTOS,
BARBUDA,
CASSILANDRO BARBUDA,APARTAMENTO 304
GASPAR SADOC,BLOCO 104
JOAO MENDES DA COSTA FILHO,A APARTAMENTO
JOAO MENDES DA COSTA FILHO,
GILBERTO AMADO,
VIEIRA LIMA,
JAPURA,CASA
BAPTISTA,
,APARTAMENTO 706
,
XINGU,
ANTONIO DE SOUZA,APARTAMENTO 1103
RODOLFO COELHO,
RODOLFO COELHO CAVALCANTI,
GRANJA MAR,
GRANJA MAR AZUL,APARTAMENTO 202
GRANJA MAR,APARTAMENTO 303
GRANJA MAR AZUL,
MANOEL RIBEIRO,BLOCO A APARTAMENTO 301
TIBURCIO DE CASTRO,BLOCO B APARTAMENTO 103
GABRIEL PASSOS,CASA
PASSOS,
IVAN BARRETO DE CARVALHO,CASA
CASIMIRO QUIROGA,EDIFICIO Sandalo APARTAMENTO 1101
JOAO JOSE RESCALA,EDIFICIO A
JOAO JOSE,APARTAMENTO 1206
JOAO JOSE RESCALA,EDIFICIO B APARTAMENTO 505
LUIZ VIANNA FILHO,EDIFICIO 702
LUIZ VIANNA,Adriano 1203
ALBERTO FIUZA,CASA 4
,
NOME,
JOAO JOSE RESCALA,EDIFICIO APARTAMENTO
JOAO JOSE RESCALA,Iatai APARTAMENTO
JOAO JOSE RESCALA,EDIFICIO 1003
ANTONIO CARLOS MAGALHAES,TERREO
LINEU LAPA BARRETO,FUNDOS ANDAR 3 LADO ESQUERDO
BENJAMIM VIEIRA DUARTE,ANDAR 2 CASA 1
DOS PESCADORES,SUBSOLO CASA 1
DOS PESCADORES,3
DOS PESCADORES,ANDAR CASA
JOAO CARLOS SACRAMENTO,HABITACAO 3
DA VEIGA MURICI,HABITACAO 1
LOURENCO RIBEIRO DA ROCHA,FUNDOS 5
RIBEIRO DA ROCHA,
LOURENCO RIBEIRO DA ROCHA,TERREO
EDMUNDO GUIMARAES,
PEDRO DA SILVA,
JAGUARACY,TERREO
JAGUARACY,APARTAMENTO 102 ANDAR 1
SEGUNDA SAO FRANCISCO,ANDAR 1
PINTO DE AGUIAR,CASA D
SANTANA,
1 PINTO DE AGUIAR,CASA B
DAS ARARAS,1 503
DAS ARARAS,BLOCO 4 APARTAMENTO 701
DAS ARARAS,BLOCO 3 APARTAMENTO 201
ARARAS,APARTAMENTO 604
JORGE AMADO,
AMADO,APARTAMENTO 502
JORGE AMADO,APARTAMENTO 1304
SAPOLNIK,c APARTAMENTO
FRANCISCO ROSA,APARTAMENTO 402 BLOCO B
BENEVENTO,TERREO
GENOVA,
,
MANGABEIRA,
OCTAVIO MANGABEIRA,
ISAIAS ALVES DE ALMEIDA,BLOCO B OUTROS 202
ISAIAS ALVES DE ALMEIDA,APARTAMENTO 803
ISAIAS ALVES DE ALMEIDA,APARTAMENTO 702
ISAIAS ALVES DE ALMEIDA,APARTAMENTO 104
BOUREAU,
VISTA,
,FUNDOS
GUARATINGA,TERREO
GUARATINGA,
GUARATINGA,
MANOEL ANDRADE,APARTAMENTO 507
ALBERTO VALENCA,BLOCO A APARTAMENTO 2301
GOMES DE MEDONCA,A APARTAMENTO
GOMES DE MENDONCA,APARTAMENTO 1101
MANOEL GOMES DE MENDONCA,BLOCO A APARTAMENTO 203
ANDRADE,APARTAMENTO 601
PEREIRA,
HENRIQUE,
HENRIQUE,FUNDOS
TERCEIRA ANTENOR COSTA NUNO,TERREO
FERNANDO TUY,
TUY,APARTAMENTO 1204
TUY,APARTAMENTO 1703
TUY,
FERNANDO TUY,APARTAMENTO 402
MORANO,APARTAMENTO 1202
MORANO,APARTAMENTO 602
CATANIA,
JOAO BIAO DE CERQUEIRA,
COLMAR AMERICANO DA COSTA,APARTAMENTO 902
AMERICANO DA COSTA,APARTAMENTO 701
COLMAR AMERICANO DA COSTA,
CEARA,APARTAMENTO 401
HILTON RODRIGUES,
RODRIGUES,
,APARTAMENTO 1202
,APARTAMENTO 103
GRAVIOLA,
VARZEA DE SANTO ANTONIO,APARTAMENTO 1102
VARZEA DE SANTO ANTONIO,APARTAMENTO 701
DO SOSSEGO,
DO SOSSEGO,
NUNES DA MATA,
JOAO NUNES DA MATA,
JOAO NUNES DA MATA,
CAPUAVA,
SOLIMOES,
TUBARAO,
AUGUSTO LOPES PONTES,APARTAMENTO 2302
AUGUSTO LOPES PONTES,APARTAMENTO 903
AUGUSTO LOPES,B APARTAMENTO
AUGUSTO LOPES PONTES,PREDIO 1002
AUGUSTO LOPES PONTES,PREDIO A APARTAMENTO 502
DAS PATATIVAS,
PATATIVAS,
PATATIVAS,APARTAMENTO 1005
PATATIVAS,
DAS PATATIVAS,
DAS PATATIVAS,
GAIVOTAS,APARTAMENTO 1101
DAS GAIVOTAS,APARTAMENTO 504
DO ALBATROZ,APARTAMENTO 1003
,
RAIMUNDO VIANA,TERREO
MACHADO DE ASSIS,
MARIO LEAL FERREIRA,
DANIEL LISBOA,
EURIDES,
,ANDAR 1
PINHEIRO VIEGAS,CASA
PINHEIRO VIEGAS,TERREO 1
DANIEL LISBOA TERCEIRA TRAVESSA,ANDAR 2
DANIEL LISBOA TERCEIRA TRAVESSA,
DANIEL LISBOA TERCEIRA TRAVESSA,
DANIEL LISBOA TERCEIRA TRAVESSA,
RIO BRANCO,FUNDOS CASA 4
SANTA ROSA,
VI,APARTAMENTO 801
RIO BRANCO,
AMBROSIO GOMES,ANDAR 1 APARTAMENTO 2
URBINO DE AGUIAR,APARTAMENTO 101
URBINO DE AGUIAR,APARTAMENTO 12
COSME,ANDAR 1
DE CARVALHO FILHO,
01 IOLANDA PIRES,
JOAO BATISTA CARIBE,BLOCO 3 APARTAMENTO 301
JOAO BATISTA CARIBE,BLOCO 7 APARTAMENTO 406
REGIS,APARTAMENTO 206
LAURINDO REGIS,BLOCO 2
,
JOAO VI,
JOAO VI,
VI,
VI,
,
3 DE MAIO,
IRENE,
NOVA DO SOSSEGO,APARTAMENTO 2
NOVA DO,FUNDOS
BARRAL,
,CASA
BARRAL 2,CASA
12 DE SETEMBRO,
BARRAL,SUBSOLO
,
SALUSTIANO,TERREO
18 DE JANEIRO,ANDAR 1
LUCIA,
GUSTAVO,ANDAR 2 APARTAMENTO 203
GUSTAVO,ANDAR 2 APARTAMENTO 202
GUSTAVO,ANDAR 5
ACUPE,FUNDOS CASA 220
ROMULO ALMEIDA,APARTAMENTO 102
ARMANDO TOURINHO,BLOCO xxii
JARDIM SANTO ANTONIO,BLOCO vii APARTAMENTO 101
LOPES,APARTAMENTO 21
DO ACUPE,
FEITOSA,CASA 01
FRANCISCO DE ASSIS,ANDAR 1
,TERREO
LUZIA,
3 DA CHINA,
NOVA DO BARIRI,
NOVA DO BARIRI,TERREO
MAGALHAES NETO,BLOCO 7
MAGALHAES NETO,BLOCO 7 APARTAMENTO 201
MAGALHAES NETO,APARTAMENTO 203
MAGALHAES NETO,APARTAMENTO 302
NETO,APARTAMENTO 12
NETO,BLOCO 201
ARAUJO,BLOCO g APARTAMENTO 102
ALOISIO DE CARVALHO FILHO,BLOCO A APARTAMENTO 304
DE CARVALHO FILHO,BLOCO D APARTAMENTO 404
RESIDENCIAL PROFESSOR JOSE OLIMPIO DA,BLOCO 1 APARTAMENTO 302 ANDAR 2
SOLAR BOA VISTA,BLOCO 1 APARTAMENTO 302
MARIO LEAL FERREIRA,
MARIO LEAL,APARTAMENTO 801
SINESIO DE FARIAS,APARTAMENTO 21
COSTA,
BAIXA DO,TERREO
SEGUNDA JOSE,FRENTE
VALE DO MATATU,
COSME DE,SUBSOLO
OSVALDO GOMES,
ASCENDINO BISPO DOS ANJOS,
COSME DE FARIAS,TERREO
MURICI,SOBRADO
JAGUARARI,
,CASA
,CASA
JACY,
VICENTE DAS,
VICENTE DAS CHAGAS,
